,,,,,,,,,,0,,Change ,5,,,10,,,15,,,20,,,25,,,30,,,35,,,40,,,
Entry,Fan Placement,Material Type,Layer Thickness (mm),Fabric Layer Count,Initial total weight,Final total weight,Mass loss (g),Fan Speed (RPM),Fan Distance (cm),Bottle Temp (°C),Evaporation chamber Temp (°C),,Bottle Temp (°C),Evaporation chamber Temp (°C),,Bottle Temp (°C),Evaporation chamber Temp (°C),,Bottle Temp (°C),Evaporation chamber Temp (°C),,Bottle Temp (°C),Evaporation chamber Temp (°C),,Bottle Temp (°C),Evaporation chamber Temp (°C),,Bottle Temp (°C),Evaporation chamber Temp (°C),,Bottle Temp (°C),Evaporation chamber Temp (°C),,Bottle Temp (°C),Evaporation chamber Temp (°C),,Notes
1,Bottom,Cotton,2,2,594.6,581.9,12.7,2400,5,22.5,23.8,1.3,21.4,23.4,2,21,23.4,2.4,20.6,23.4,2.8,19.9,23.4,3.5,19.5,23.4,3.9,19.1,23.4,4.3,19.1,23.4,4.3,19.1,23.4,4.3,
2,Bottom,Linen ,2,1,640.2,621.3,18.9,2400,5,17.6,23.9,6.3,17.6,23.1,5.5,17.6,23.1,5.5,17.6,23.1,5.5,17.5,23.1,5.6,18,23.7,5.7,18,23.7,5.7,18,24.1,6.1,18.1,24.1,6,
3,Bottom,Jute,2,1,634.7,613.9,20.8,2400,5,20.8,25,4.2,20.4,22.6,2.2,20.4,23,2.6,19.9,23.4,3.5,19.5,23.4,3.9,19.5,23.8,4.3,19.1,23.8,4.7,19.1,24.2,5.1,19.5,24.6,5.1,
4,Bottom,Control,0,0,596.8,596.8,0,2400,5,20.9,26.2,5.3,21.7,25.4,3.7,22.5,25.4,2.9,22.9,25.4,2.5,23.3,25.4,2.1,23.3,25.8,2.5,24.1,25.4,1.3,24.1,25.4,1.3,24.5,25.8,1.3,
5,Bottom,Cotton,2,2,654.1,640.6,13.5,3200,5,20.2,25.8,5.6,19.5,24.6,5.1,19.1,24.6,5.5,18.7,24.6,5.9,18.7,24.6,5.9,18.7,25,6.3,18.7,25,6.3,18.3,25,6.7,18.3,25,6.7,
6,Bottom,Jute,2,1,638.3,624.2,14.1,3200,5,20.4,25.8,5.4,20.4,23.8,3.4,19.9,23.8,3.9,19.9,24.1,4.2,19.5,24.1,4.6,19.5,24.5,5,19.5,24.9,5.4,19.5,25.3,5.8,20.3,25.7,5.4,
7,Bottom,Linen,2,1,643.3,626.9,16.4,3200,5,20.4,26.1,5.7,19.9,24.5,4.6,19.5,24.5,5,19.5,24.5,5,19.1,24.5,5.4,19.1,24.5,5.4,19.1,24.5,5.4,19.1,24.5,5.4,19.1,24.5,5.4,
8,Bottom,Control,0,0,624.8,624.8,0,3200,5,21.3,26.1,4.8,22.1,25.7,3.6,22.5,25.7,3.2,23.3,25.7,2.4,23.3,25.7,2.4,23.7,25.7,2,24.1,25.7,1.6,24.1,25.7,1.6,24.1,25.7,1.6,
9,Bottom,Cotton,2,2,638.2,622.5,15.7,2800,5,21.8,25.7,3.9,21,24.5,3.5,20.6,24.5,3.9,20.6,24.5,3.9,20,24.5,4.5,19.6,24.5,4.9,19.6,24.5,4.9,19.6,24.5,4.9,19.6,24.5,4.9,
10,Top,Cotton,2,2,593.8,587.2,6.6,2400,10,17.8,21.1,3.3,17.5,21.4,3.9,17,21.5,4.5,17,21.1,4.1,17,21.1,4.1,16.5,21.1,4.6,16.2,21.1,4.9,16,21.1,5.1,15.8,21.1,5.3,
11,Top,Jute,2,1,611.3,604.3,7,2400,10,15.8,19.5,3.7,15.8,19.1,3.3,15.8,19.1,3.3,15.6,19.1,3.5,15.6,19.1,3.5,15.4,19.1,3.7,15.4,19.1,3.7,15.3,19.1,3.8,15.3,19.1,3.8,
12,Top,Linen,2,1,546.9,,546.9,2400,10,18.5,20.3,1.8,17.9,19.1,1.2,17.5,19.1,1.6,16.7,19.1,2.4,16.7,19.1,2.4,16.3,19.5,3.2,15.9,19.5,3.6,15.7,19.5,3.8,15.5,19.5,4,
13,Top,Control,0,0,567.2,567.2,0,2400,10,19.4,20,0.6,19.4,20,0.6,19.4,20,0.6,19.4,20.1,0.7,19.4,20.1,0.7,19.4,20.2,0.8,19.4,20.2,0.8,19.4,20.1,0.7,19.4,20.1,0.7,
14,Side Fans,Control,0,0,626.3,626.3,0,2400,5,19.8,17.4,-2.4,19.6,17.4,-2.2,19.6,17.8,-1.8,19.6,18,-1.6,20,18,-2,20,18,-2,20,18,-2,20,18.4,-1.6,19.6,18.4,-1.2,
15,Side Fans,Jute,2,1,638.2,629.6,8.6,2400,5,18.1,20,1.9,17.7,19.6,1.9,17.3,19.2,1.9,17.3,19.2,1.9,16.9,20,3.1,16.9,20,3.1,16.9,19.2,2.3,16.9,19.2,2.3,16.9,19.2,2.3,
16,Side Fans,Linen,2,1,647.5,638.3,9.2,2400,5,18.5,19.6,1.1,18.1,19.2,1.1,18.1,19.2,1.1,17.7,19.2,1.5,17.3,19.2,1.9,16.9,19.2,2.3,16.9,19.2,2.3,16.5,19.2,2.7,16.5,19.6,3.1,
17,Side Fans,Cotton,2,2,656.5,647.7,8.8,2400,5,18.5,20,1.5,18.5,20,1.5,17.7,19.6,1.9,17.3,19.6,2.3,17.3,19.6,2.3,16.9,19.6,2.7,16.5,19.6,3.1,16.5,19.2,2.7,16.5,19.6,3.1,
18,Side Fans,Control,0,0,620,620,0,3200,5,17.5,20,2.5,17.9,20,2.1,18.3,20,1.7,18.3,20,1.7,18.7,20,1.3,18.7,20,1.3,18.7,20,1.3,19.1,19.6,0.5,19.1,20,0.9,
19,Side Fans,Linen,2,1,613.5,601.1,12.4,3200,5,16.7,21.5,4.8,15.9,21.3,5.4,15.5,21.3,5.8,15.5,21.2,5.7,15.4,21.2,5.8,15.4,21.2,5.8,15.4,21.2,5.8,15.3,21.4,6.1,15.5,21.6,6.1,
